Open,High,Low,Close,Adj Close,Volume,company_name,Date
259.9333190917969,264.5,256.8933410644531,260.4366760253906,260.4366760253906,62828700,TESLA,2021-09-29
260.3333435058594,263.0433349609375,258.3333435058594,258.49334716796875,258.49334716796875,53868000,TESLA,2021-09-30
259.4666748046875,260.260009765625,254.52999877929688,258.40667724609375,258.40667724609375,51094200,TESLA,2021-10-01
265.5,268.989990234375,258.7066650390625,260.510009765625,260.510009765625,91449900,TESLA,2021-10-04
261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800,TESLA,2021-10-05
258.73333740234375,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400,TESLA,2021-10-06
261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,TESLA,2021-10-07
265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,TESLA,2021-10-08
262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,TESLA,2021-10-11
266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,TESLA,2021-10-12
270.15667724609375,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,TESLA,2021-10-13
271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,TESLA,2021-10-14
274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800,TESLA,2021-10-15
283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,TESLA,2021-10-18
292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,TESLA,2021-10-19
288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,TESLA,2021-10-20
285.3333435058594,300.0,285.1666564941406,298.0,298.0,94444500,TESLA,2021-10-21
298.5,303.3333435058594,296.9866638183594,303.2266540527344,303.2266540527344,68642400,TESLA,2021-10-22
316.84332275390625,348.3399963378906,314.73333740234375,341.6199951171875,341.6199951171875,188556300,TESLA,2021-10-25
341.5633239746094,364.9800109863281,333.8133239746094,339.4766540527344,339.4766540527344,187245000,TESLA,2021-10-26
346.5533447265625,356.9599914550781,343.59332275390625,345.9533386230469,345.9533386230469,115579500,TESLA,2021-10-27
356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,359.0133361816406,81639600,TESLA,2021-10-28
360.6199951171875,371.7366638183594,357.7366638183594,371.3333435058594,371.3333435058594,89755200,TESLA,2021-10-29
381.6666564941406,403.25,372.88665771484375,402.86334228515625,402.86334228515625,168146100,TESLA,2021-11-01
386.4533386230469,402.86334228515625,382.0,390.6666564941406,390.6666564941406,128213400,TESLA,2021-11-02
392.4433288574219,405.1300048828125,384.2066650390625,404.6199951171875,404.6199951171875,103885500,TESLA,2021-11-03
411.4700012207031,414.4966735839844,405.6666564941406,409.9700012207031,409.9700012207031,76192200,TESLA,2021-11-04
