Date,Stock Name,positive,negative,neutral,compound
1/21/22,TSLA,0.103,0.766,0.131,0.9991
1/22/22,TSLA,0.058,0.805,0.137,0.9995
1/23/22,TSLA,0.078,0.798,0.124,0.9984
1/24/22,TSLA,0.079,0.815,0.106,0.999
1/25/22,TSLA,0.074,0.805,0.122,0.9996
1/26/22,TSLA,0.065,0.801,0.134,1
1/27/22,TSLA,0.092,0.795,0.113,0.9995
1/28/22,TSLA,0.066,0.812,0.122,0.9998
1/29/22,TSLA,0.084,0.778,0.137,0.9995
1/30/22,TSLA,0.064,0.815,0.12,0.9993
1/31/22,TSLA,0.06,0.844,0.096,0.9993
2/1/22,TSLA,0.081,0.796,0.124,0.9992
2/2/22,TSLA,0.088,0.794,0.118,0.9978
2/3/22,TSLA,0.056,0.842,0.102,0.999
2/4/22,TSLA,0.072,0.787,0.141,0.9996
2/5/22,TSLA,0.041,0.814,0.146,0.9997
2/6/22,TSLA,0.044,0.815,0.141,0.9995
2/7/22,TSLA,0.06,0.838,0.102,0.9986
2/8/22,TSLA,0.055,0.808,0.138,0.9997
2/9/22,TSLA,0.073,0.805,0.122,0.9989
2/10/22,TSLA,0.069,0.827,0.104,0.9957
2/11/22,TSLA,0.087,0.78,0.134,0.9992
2/12/22,TSLA,0.047,0.859,0.094,0.9967
2/13/22,TSLA,0.044,0.854,0.101,0.9974
2/14/22,TSLA,0.058,0.783,0.158,0.9999
2/15/22,TSLA,0.048,0.786,0.166,0.9999
2/16/22,TSLA,0.066,0.811,0.124,0.9991
2/17/22,TSLA,0.087,0.786,0.127,0.9988
2/18/22,TSLA,0.072,0.792,0.137,0.9996
2/19/22,TSLA,0.081,0.799,0.12,0.9983
2/20/22,TSLA,0.065,0.819,0.116,0.9983
2/21/22,TSLA,0.084,0.817,0.099,0.9419
2/22/22,TSLA,0.077,0.789,0.134,0.9996
2/23/22,TSLA,0.085,0.784,0.131,0.9997
2/24/22,TSLA,0.103,0.797,0.1,-0.92
2/25/22,TSLA,0.066,0.81,0.124,0.9988
2/26/22,TSLA,0.063,0.862,0.075,-0.3101
